4-90,1-4
3-94,3-4
11-81,81-83
79-92,80-80
5-79,5-80
67-75,66-96
51-75,76-76
12-74,13-73
4-11,10-65
17-61,8-11
63-63,9-64
38-38,23-38
15-89,19-80
95-96,74-95
79-81,63-80
89-89,39-88
7-41,8-41
16-23,22-96
7-50,8-98
30-75,31-74
30-30,30-89
52-53,52-78
15-16,21-40
3-37,13-38
18-61,19-32
78-79,1-78
40-65,66-98
2-72,67-71
7-9,8-88
26-61,25-25
49-91,49-92
2-24,2-94
10-43,10-44
73-80,6-79
65-66,66-66
24-31,31-32
4-23,40-58
4-86,1-1
1-93,1-1
7-8,7-83
53-53,35-52
7-7,6-71
8-77,76-77
11-33,11-42
66-66,67-67
35-53,34-52
23-23,23-68
9-20,10-15
16-74,15-83
20-82,58-81
19-84,82-84
50-77,50-77
5-7,7-71
18-93,52-92
77-93,89-99
43-43,42-43
4-64,1-83
8-74,74-75
29-62,29-94
8-50,1-9
9-99,8-61
5-98,4-98
17-79,79-80
53-84,54-85
36-78,37-79
45-74,46-73
43-64,44-65
39-45,38-72
13-32,12-96
5-5,5-84
66-96,67-81
84-84,24-83
27-66,65-67
12-46,64-72
34-94,95-95
10-89,10-11
4-72,3-71
13-38,12-16
15-92,92-93
16-16,17-74
89-89,88-88
5-65,6-65
63-87,64-86
19-86,18-86
72-72,51-73
64-95,65-65
15-92,15-16
48-86,49-86
96-98,2-97
99-99,2-97
52-61,51-51
80-92,13-93
95-97,89-96
49-54,54-59
63-99,62-89
4-88,3-88
8-56,8-56
10-31,30-32
44-44,26-43
81-93,40-91
34-60,60-61
22-80,12-23
46-84,78-85
22-83,22-71
16-98,19-94
34-47,39-46
1-12,73-81
12-98,12-48
13-91,21-59
26-65,26-66
33-33,33-55
6-99,7-98
12-12,12-67
11-68,1-95
82-94,6-83
62-70,61-94
9-9,10-76
23-93,93-93
65-87,64-87
86-88,19-87
91-92,3-96
8-93,93-94
4-29,4-18
10-23,22-35
7-18,18-56
23-82,7-11
60-75,39-49
9-78,19-77
42-86,41-41
24-24,39-99
92-92,4-91
3-12,4-14
17-65,29-66
44-91,92-93
3-96,2-97
5-92,4-93
74-76,36-75
8-65,6-9
11-84,78-85
50-50,30-57
5-77,1-2
31-94,93-95
40-71,41-70
90-92,4-91
9-66,80-87
30-57,57-86
26-34,27-34
38-84,37-85
65-74,65-66
60-84,3-85
4-63,3-93
61-93,62-62
18-24,18-19
7-12,11-13
60-70,60-61
4-57,4-63
21-30,29-62
49-89,48-90
9-97,96-98
1-97,3-94
4-93,4-94
3-96,7-81
2-2,2-86
4-8,1-8
28-33,53-82
20-91,19-91
1-88,20-76
8-70,3-16
13-63,63-71
4-71,71-72
14-88,89-89
8-87,5-9
6-63,47-62
61-99,61-99
22-26,21-84
47-86,47-51
9-15,4-14
2-67,3-66
22-94,23-94
21-86,20-86
24-68,24-64
38-38,38-56
43-99,33-44
85-86,53-85
69-69,12-69
11-12,30-98
28-58,25-28
27-94,28-98
7-94,99-99
35-91,17-92
92-92,19-91
12-94,40-93
18-82,18-19
3-96,2-97
43-71,44-70
39-82,40-83
6-52,24-52
19-51,20-52
26-53,48-54
15-99,14-16
5-12,11-97
12-86,86-87
27-27,26-94
14-15,18-87
20-46,37-90
12-61,12-13
25-25,19-25
93-97,13-92
1-10,10-11
25-34,25-30
53-59,54-59
25-92,66-93
6-6,5-40
2-31,1-32
5-5,6-76
19-99,9-98
12-92,11-91
3-33,58-90
19-64,33-63
10-54,10-55
8-8,9-90
16-90,15-90
82-94,82-83
12-77,27-64
14-37,15-36
63-83,74-84
7-98,7-93
7-87,23-88
9-95,4-9
42-46,80-89
7-92,8-91
7-14,7-20
43-91,42-42
53-81,1-82
8-80,6-20
19-59,5-58
29-90,13-29
29-90,28-30
89-95,18-96
76-76,21-75
28-97,27-97
28-91,27-91
5-89,12-85
62-63,20-62
33-90,33-98
12-53,11-54
31-66,67-67
60-90,61-91
8-8,10-83
50-82,36-83
54-95,55-96
42-80,43-81
40-40,40-75
10-69,9-27
43-47,26-34
44-75,12-76
35-36,35-97
6-25,5-25
4-65,2-5
70-71,50-70
9-95,4-9
38-75,38-39
72-94,8-71
30-97,30-31
8-87,8-40
19-59,18-59
3-96,1-96
4-69,3-99
4-7,7-98
16-94,93-94
8-86,9-87
23-97,23-98
5-89,6-6
15-32,15-15
8-79,2-8
6-22,7-22
89-91,24-90
57-85,7-86
54-79,53-54
96-97,7-97
45-45,9-44
28-98,46-97
40-65,66-66
12-26,13-26
10-10,10-76
29-59,28-59
17-39,16-72
69-70,70-81
60-61,60-64
18-56,18-95
21-21,21-80
15-36,15-95
1-98,1-1
61-65,60-66
80-91,80-99
42-81,65-82
44-87,43-90
12-90,11-90
5-94,6-94
81-81,44-80
2-37,21-47
26-81,30-81
29-81,97-97
7-79,3-78
43-74,42-73
3-77,3-74
2-74,1-2
46-68,14-46
1-58,3-78
46-70,13-52
92-96,32-92
32-81,31-80
17-97,17-98
40-75,75-76
22-22,22-73
13-96,13-95
47-70,46-70
21-56,22-22
7-87,3-96
12-48,13-48
23-84,3-24
20-98,20-99
8-79,6-95
6-62,2-98
21-28,3-28
67-69,59-68
16-86,14-14
25-77,25-26
9-34,9-35
8-13,14-14
8-24,8-91
8-76,6-75
9-78,9-10
19-82,7-19
83-84,62-83
16-86,17-86
32-32,14-31
24-73,23-99
5-16,5-15
7-99,8-98
12-94,13-91
37-38,37-92
3-87,3-4
10-96,10-93
2-77,1-76
61-87,37-70
2-24,80-86
3-97,3-17
5-74,46-58
76-78,40-77
7-94,7-87
15-31,31-32
10-96,70-98
4-51,52-90
48-52,52-75
19-46,18-47
82-97,25-96
15-54,8-15
90-90,89-94
16-91,16-65
3-97,3-99
6-90,6-91
75-76,1-75
9-9,8-86
34-34,34-36
94-94,42-93
7-37,6-36
5-5,5-67
59-84,3-90
26-26,25-99
44-97,96-97
41-77,42-57
33-79,34-80
68-70,68-68
68-81,67-80
4-93,4-5
25-42,3-26
44-77,45-95
38-97,96-98
33-34,32-34
90-93,89-89
21-60,60-85
44-91,20-95
26-68,25-63
17-18,17-73
6-93,6-7
26-31,27-32
10-97,10-98
33-84,33-92
93-98,2-93
39-92,39-91
9-73,8-65
10-89,9-62
50-89,50-51
35-98,99-99
50-96,24-87
99-99,25-96
37-78,4-79
2-10,10-11
13-71,11-14
51-76,7-76
38-52,42-51
10-91,3-11
7-78,3-79
5-7,3-3
28-50,17-50
39-62,4-15
6-97,5-98
63-91,23-99
12-93,11-19
52-93,73-99
12-95,12-12
13-28,27-84
83-85,12-84
26-99,26-27
58-62,57-88
27-43,44-44
43-96,20-44
34-61,59-60
44-75,43-75
1-99,5-93
17-99,18-98
84-90,85-89
5-49,1-5
26-74,43-74
65-93,65-90
18-84,11-19
15-15,14-83
19-97,19-96
2-95,4-95
84-84,85-85
7-53,53-56
2-2,3-60
24-48,48-72
1-1,1-97
15-29,16-20
1-20,19-50
6-88,1-7
14-47,13-13
4-44,4-42
7-98,7-12
30-69,3-30
73-82,81-83
1-96,1-86
4-4,3-48
94-96,5-86
29-73,29-30
21-22,22-80
97-98,29-98
42-75,76-84
86-92,85-93
14-70,13-69
