position=<-42417,  32097> velocity=< 4, -3>
position=<-53131,  10781> velocity=< 5, -1>
position=< 53459,  53404> velocity=<-5, -5>
position=< 53469,  53404> velocity=<-5, -5>
position=< 42828,  53409> velocity=<-4, -5>
position=<-21139, -53160> velocity=< 2,  5>
position=<-31769, -42499> velocity=< 3,  4>
position=< 42821,  10781> velocity=<-4, -1>
position=< 21490,  21434> velocity=<-2, -2>
position=< 21459, -53158> velocity=<-2,  5>
position=< 10842, -10533> velocity=<-1,  1>
position=< 42778,  32097> velocity=<-4, -3>
position=< 32131,  42750> velocity=<-3, -4>
position=< 42821, -10531> velocity=<-4,  1>
position=< 42775, -53159> velocity=<-4,  5>
position=< 42820, -42495> velocity=<-4,  4>
position=< 53468,  53404> velocity=<-5, -5>
position=<-31818,  42746> velocity=< 3, -4>
position=<-42422, -31840> velocity=< 4,  3>
position=< 21479, -21183> velocity=<-2,  2>
position=<-42454,  21435> velocity=< 4, -2>
position=< 10847, -53152> velocity=<-1,  5>
position=<-31813,  53409> velocity=< 3, -5>
position=< 10847,  21435> velocity=<-1, -2>
position=<-53081,  32094> velocity=< 5, -3>
position=<-42473,  32096> velocity=< 4, -3>
position=< 10807, -42503> velocity=<-1,  4>
position=< 10862,  32097> velocity=<-1, -3>
position=< 53469,  10785> velocity=<-5, -1>
position=< 21503, -42498> velocity=<-2,  4>
position=< 53430,  21435> velocity=<-5, -2>
position=< 53427, -31841> velocity=<-5,  3>
position=< 42799, -42495> velocity=<-4,  4>
position=<-21107, -31839> velocity=< 2,  3>
position=< 21511, -53151> velocity=<-2,  5>
position=<-42433, -10530> velocity=< 4,  1>
position=<-31777, -31846> velocity=< 3,  3>
position=<-21141, -21191> velocity=< 2,  2>
position=<-53100,  32094> velocity=< 5, -3>
position=< 21514,  42753> velocity=<-2, -4>
position=<-42466,  10785> velocity=< 4, -1>
position=<-31790,  21441> velocity=< 3, -2>
position=<-42433,  32095> velocity=< 4, -3>
position=<-42430, -42497> velocity=< 4,  4>
position=< 21503, -31840> velocity=<-2,  3>
position=< 21475, -53154> velocity=<-2,  5>
position=<-42449,  32095> velocity=< 4, -3>
position=<-53094,  10784> velocity=< 5, -1>
position=< 21495, -21192> velocity=<-2,  2>
position=< 53434, -21191> velocity=<-5,  2>
position=< 32143, -21189> velocity=<-3,  2>
position=<-21140, -53155> velocity=< 2,  5>
position=< 21495,  42744> velocity=<-2, -4>
position=< 21502,  32097> velocity=<-2, -3>
position=<-53094, -42495> velocity=< 5,  4>
position=<-42474,  53406> velocity=< 4, -5>
position=<-21141, -10535> velocity=< 2,  1>
position=< 42788, -31843> velocity=<-4,  3>
position=<-21139, -21192> velocity=< 2,  2>
position=<-10493,  10782> velocity=< 1, -1>
