on x=-1..48,y=-16..38,z=-20..25
off x=-90052..-64288,y=17693..44173,z=71..23706
off x=39085..56978,y=39661..61814,z=6224..34271
on x=-31077..-21207,y=-78619..-57241,z=-9896..11390
on x=-66658..-47597,y=11540..34770,z=38391..65068
on x=-65615..-34509,y=53414..70424,z=-8121..25175
off x=22965..32240,y=58946..87929,z=-10458..-4376
off x=63082..90649,y=-26291..1752,z=21476..39364
on x=9524..32915,y=-43284..-19194,z=52383..69188
off x=-51369..-17158,y=-74652..-49149,z=-31398..-10599
off x=29266..33149,y=7497..14985,z=66875..82541
on x=-27021..-12645,y=60715..79770,z=-43143..-24197
on x=-54871..-34848,y=-59775..-35252,z=-48344..-23443
on x=-1950..16881,y=63179..86043,z=-55428..-31928
off x=16581..29019,y=61191..92312,z=7013..32746
off x=-55445..-19252,y=-5710..23171,z=58447..77784
off x=-17624..18337,y=-40609..-27297,z=59683..76950
off x=25862..54830,y=-75655..-55496,z=-361..24034
on x=47642..63580,y=13587..31697,z=-63323..-33822
off x=45388..55145,y=-72791..-60442,z=-31428..-5005
off x=47767..72283,y=-51375..-25540,z=7381..25527
off x=-6322..30737,y=-25667..2565,z=-97128..-60724
off x=65199..79046,y=5420..37469,z=-31619..-15244
off x=23572..39963,y=63364..77180,z=15360..35060
on x=-29512..126,y=-19605..-3604,z=-80094..-77214
on x=-85819..-49345,y=13010..23934,z=-43932..-32506
on x=-73177..-44970,y=-8629..9092,z=55299..71030
on x=42496..64601,y=-55995..-41803,z=-30300..-10429
off x=-53775..-31854,y=-59234..-28407,z=-61605..-49173
off x=31473..56209,y=12988..21267,z=53516..77383
on x=29901..50061,y=46738..79242,z=-38794..-9493
on x=37285..54497,y=-65252..-36573,z=16408..29558
off x=-12781..3406,y=-59504..-31950,z=-85822..-56333
on x=-37475..-13490,y=-10186..4616,z=-89147..-57477
off x=-47903..-22113,y=43987..67652,z=40223..42318
off x=-15046..18282,y=13029..29067,z=-96462..-68422
on x=-83840..-69465,y=451..22192,z=-34901..-9485
off x=-80409..-66287,y=-35747..-29770,z=15839..24333
on x=-19010..750,y=-79337..-57187,z=-41849..-21549
on x=-48822..-21353,y=-33954..-94,z=64810..72851
off x=-54657..-38467,y=-41458..-18427,z=50354..63210
off x=51408..81040,y=-14501..13586,z=38332..47599
off x=48954..76455,y=3469..15311,z=-68958..-40888
off x=-58806..-47362,y=-76380..-51862,z=5942..19718
off x=-53246..-26761,y=-77054..-52976,z=-22871..13576
on x=27614..38741,y=14613..29418,z=-83716..-57903
off x=52319..72563,y=-6709..5215,z=35214..64427
off x=-17272..15440,y=45933..73436,z=-47268..-34777
off x=4464..21409,y=66927..90789,z=7589..23185
off x=-6484..30730,y=-76775..-43599,z=-56202..-47419
off x=-47243..-26535,y=-20295..-811,z=-85189..-50716
off x=1592..37371,y=-42895..-19259,z=62255..81021
off x=-83413..-69227,y=-10276..19927,z=-17853..16589
off x=11946..32712,y=25300..45774,z=-74309..-63944
off x=49376..83272,y=7670..36706,z=23521..50205
off x=-5750..17880,y=60927..81058,z=28301..34623
on x=-62883..-57040,y=-6621..6497,z=-58999..-47199
off x=53793..81478,y=-1276..17782,z=38884..44815
on x=24651..48221,y=50842..67067,z=14049..42323
off x=27311..46213,y=33602..52451,z=-75659..-44109
on x=61528..69908,y=-50915..-29489,z=21046..41008
on x=57155..69842,y=25067..48665,z=3868..24976
on x=-51744..-21639,y=-37864..-19572,z=-80353..-66632
on x=-53378..-38089,y=38079..55906,z=48582..54771
off x=-49276..-23705,y=53316..86609,z=-21885..13301
off x=-27810..-6083,y=1258..36348,z=74783..87531
off x=47836..81423,y=-20080..12837,z=-49106..-33359
on x=43178..50772,y=-45368..-28229,z=-62038..-45931
off x=69972..94011,y=-2896..7497,z=-18345..16328
on x=-41390..-27872,y=-11169..12857,z=58269..88722
off x=-7635..13614,y=47395..64088,z=-61661..-47174
on x=15960..50155,y=37826..70201,z=32254..65902
on x=-35435..-4150,y=-36965..-34805,z=-80676..-66202
off x=20573..26063,y=-30310..-12158,z=-89541..-58150
off x=64081..88596,y=-25922..-5947,z=16732..46694
off x=79458..91210,y=-6760..4282,z=1518..13350
